title,rating,location,price_nfo,savings,price_without_savings,new_car,illimted_kilometer,travels
,4.89,Noisiel • 1.7 km,77€ au total,,,4.89,Kilométrage illimité,(68 voyages)
,5.0,Torcy • 1.8 km,65€ au total,,,5.0,Kilométrage illimité,(5 voyages)
,4.97,Vaires-sur-Marne • 2.9 km,118€ au total,,,4.97,,(41 voyages)
,4.95,Chelles • 4.1 km,52€ au total,,,4.95,,(56 voyages)
,5.0,Champs-sur-Marne • 3.7 km,111€ au total,,,5.0,,(50 voyages)
,5.0,Champs-sur-Marne • 3.8 km,86€ au total,,,5.0,,(27 voyages)
,4.2,Bussy-Saint-Georges • 7.4 km,47€ au total,,,4.2,,(48 voyages)
,5.0,Vaires-sur-Marne • 2.6 km,72€ au total,,,5.0,,(2 voyages)
,4.93,Émerainville • 5.0 km,70€ au total,,,4.93,,(128 voyages)
,4.9,Roissy-en-brie • 6.0 km,67€ au total,,,4.9,,(42 voyages)
,4.91,Noisiel • 1.0 km,62€ au total,,,4.91,,(74 voyages)
,5.0,Montreuil • 13.5 km,72€ au total,,,5.0,,(15 voyages)
,5.0,Vaires-sur-marne • 2.5 km,111€ au total,,,5.0,,(2 voyages)
,5.0,Noisiel • 1.3 km,90€ au total,,,5.0,,(6 voyages)
,4.82,Noisy-le-Grand • 4.5 km,74€ au total,,,4.82,,(41 voyages)
,5.0,Le Perreux-sur-Marne • 10.3 km,88€ au total,,,5.0,,(7 voyages)
,4.91,Le Perreux-sur-Marne • 10.4 km,55€ au total,,,4.91,,(15 voyages)
,4.86,Torcy • 2.1 km,72€ au total,,,4.86,,(16 voyages)
,5.0,Montfermeil • 7.3 km,88€ au total,,,5.0,,(12 voyages)
,5.0,Gournay-sur-Marne • 4.9 km,97€ au total,,,5.0,,(14 voyages)
,5.0,Chelles • 3.9 km,99€ au total,,,5.0,,(2 voyages)
,5.0,Noisiel • 1.3 km,90€ au total,,,5.0,,(66 voyages)
,5.0,Montfermeil • 7.9 km,57€ au total,,,5.0,,(3 voyages)
,4.91,Vaires-sur-Marne • 2.7 km,65€ au total,,,4.91,,(12 voyages)
,5.0,Torcy • 1.5 km,99€ au total,,,5.0,,(7 voyages)
,5.0,Le Perreux-sur-Marne • 10.4 km,55€ au total,,,5.0,,(13 voyages)
,4.53,Bussy-Saint-Georges • 7.4 km,72€ au total,,,4.53,,(16 voyages)
,4.65,Bussy-Saint-Georges • 7.4 km,104€ au total,,,4.65,,(100 voyages)
,5.0,Champigny Sur Marne • 8.5 km,83€ au total,,,5.0,,(1 voyage)
,5.0,Sevran • 13.1 km,88€ au total,,,5.0,,(8 voyages)
,4.91,Chelles • 4.4 km,60€ au total,,,4.91,,(292 voyages)
,,Montévrain • 9.5 km,118€ au total,,,Aucun voyage,Kilométrage illimité,
,5.0,Montfermeil • 7.9 km,70€ au total,,,5.0,,(6 voyages)
,,Chelles • 5.3 km,111€ au total,,,Aucun voyage,,
,4.88,Champs-sur-Marne • 4.0 km,102€ au total,,,4.88,,(42 voyages)
,4.95,Chelles • 4.9 km,79€ au total,,,4.95,,(56 voyages)
,4.36,Montreuil • 13.5 km,72€ au total,,,4.36,,(17 voyages)
,4.25,Montreuil • 13.5 km,72€ au total,,,4.25,,(7 voyages)
,5.0,Fontenay-sous-Bois • 11.0 km,79€ au total,,,5.0,,(9 voyages)
,5.0,Noisy-le-Sec • 13.0 km,65€ au total,,,5.0,Kilométrage illimité,(1 voyage)
,5.0,Torcy • 1.0 km,122€ au total,,,5.0,,(7 voyages)
,5.0,Villemomble • 9.3 km,72€ au total,,,5.0,,(5 voyages)
,,Noisy-le-grand • 6.2 km,109€ au total,,,Nouvelle annonce,,
,5.0,Paris • 17.6 km,99€ au total,,,5.0,,(6 voyages)
,,Joinville-le-Pont • 12.1 km,99€ au total,,,Aucun voyage,,
,5.0,Saint-Denis • 21.8 km,86€ au total,,,5.0,Kilométrage illimité,(1 voyage)
,5.0,Livry-gargan • 10.7 km,47€ au total,,,5.0,,(2 voyages)
,5.0,Tremblay-en-France • 11.8 km,57€ au total,,,5.0,,(4 voyages)
,,Lognes • 2.1 km,104€ au total,,,Aucun voyage,,
,5.0,Paris • 19.0 km,156€ au total,,,5.0,Kilométrage illimité,(1 voyage)
,4.95,Paris • 16.9 km,124€ au total,,,4.95,Kilométrage illimité,(97 voyages)
,4.91,Serris • 10.7 km,111€ au total,,,4.91,,(54 voyages)
,5.0,Bussy-Saint-Georges • 5.2 km,99€ au total,,,5.0,,(3 voyages)
,4.92,Paris • 19.3 km,122€ au total,,,4.92,Kilométrage illimité,(16 voyages)
,4.96,Paris • 17.7 km,122€ au total,,,4.96,,(96 voyages)
,,Paris • 19.1 km,156€ au total,,,,Kilométrage illimité,
,4.92,Paris • 19.4 km,131€ au total,,,4.92,Kilométrage illimité,(82 voyages)
,5.0,Villiers-sur-Marne • 7.5 km,77€ au total,,,5.0,,(1 voyage)
,4.82,Paris • 16.9 km,72€ au total,,,4.82,,(15 voyages)
,5.0,Montreuil • 12.5 km,77€ au total,,,5.0,Kilométrage illimité,(11 voyages)
,5.0,Saint-Maur-des-Fossés • 11.2 km,142€ au total,,,5.0,,(1 voyage)
,5.0,Montgeron • 19.9 km,77€ au total,,,5.0,Kilométrage illimité,(1 voyage)
,4.93,Montévrain • 9.5 km,70€ au total,,,4.93,Kilométrage illimité,(15 voyages)
,5.0,Torcy • 1.0 km,122€ au total,,,5.0,,(18 voyages)
,5.0,Gentilly • 21.2 km,99€ au total,,,5.0,,(6 voyages)
,5.0,Bussy-Saint-Georges • 5.5 km,81€ au total,,,5.0,,(20 voyages)
,4.96,Serris • 10.0 km,93€ au total,,,4.96,,(64 voyages)
,4.25,Bagnolet • 16.3 km,72€ au total,,,4.25,,(12 voyages)
,4.21,Bussy-Saint-Georges • 7.4 km,52€ au total,,,4.21,,(55 voyages)
,4.96,Champigny-sur-Marne • 11.1 km,65€ au total,,,4.96,,(32 voyages)
,,Clichy-sous-Bois • 9.3 km,77€ au total,,,,,
,4.92,Le Perreux-sur-Marne • 10.4 km,55€ au total,,,4.92,,(17 voyages)
,5.0,Chessy • 11.0 km,88€ au total,,,5.0,Kilométrage illimité,(50 voyages)
,5.0,Le Blanc-Mesnil • 14.2 km,57€ au total,,,5.0,,(7 voyages)
,4.9,Gentilly • 22.0 km,52€ au total,,,4.9,,(159 voyages)
,5.0,Saint-Denis • 23.3 km,122€ au total,,,5.0,Kilométrage illimité,(4 voyages)
,5.0,Paris • 18.6 km,81€ au total,,,5.0,,(4 voyages)
,5.0,Rosny-sous-Bois • 11.4 km,145€ au total,,,5.0,,(1 voyage)
,4.95,Noisy-le-Grand • 4.5 km,120€ au total,,,4.95,,(159 voyages)
,5.0,Pantin • 18.0 km,70€ au total,,,5.0,,(11 voyages)
,4.85,Sucy-en-Brie • 12.8 km,156€ au total,,,4.85,,(27 voyages)
,,Paris • 17.6 km,113€ au total,,,Nouvelle annonce,,
,4.83,Chessy • 11.0 km,88€ au total,,,4.83,Kilométrage illimité,(6 voyages)
,5.0,Créteil • 14.3 km,120€ au total,,,5.0,,(1 voyage)
,,Lognes • 1.8 km,97€ au total,,,Aucun voyage,,
,5.0,Maisons-Alfort • 14.6 km,160€ au total,,,5.0,,(1 voyage)
,,Pontault-Combault • 5.3 km,111€ au total,,,Aucun voyage,,
,5.0,Bobigny • 15.0 km,88€ au total,,,5.0,,(12 voyages)
,5.0,Bobigny • 15.0 km,88€ au total,,,5.0,,(6 voyages)
,5.0,Champs-sur-Marne • 4.0 km,99€ au total,,,5.0,,(3 voyages)
,4.0,Aulnay-sous-Bois • 13.7 km,99€ au total,,,4.0,,(1 voyage)
,,Torcy • 1.8 km,122€ au total,,,Aucun voyage,,
,,Villepinte • 11.7 km,133€ au total,,,Nouvelle annonce,,
,5.0,Le Raincy • 10.2 km,88€ au total,,,5.0,,(1 voyage)
,,Joinville-le-Pont • 12.1 km,111€ au total,,,5.0,,(0 voyages)
,4.96,Yerres • 19.7 km,104€ au total,,,4.96,,(33 voyages)
,4.95,Yerres • 19.7 km,104€ au total,,,4.95,,(35 voyages)
,,Pontcarré • 7.7 km,182€ au total,,,Nouvelle annonce,,
,4.8,Vaujours • 10.4 km,133€ au total,,,4.8,,(12 voyages)
,5.0,Rosny-sous-bois • 12.1 km,83€ au total,,,5.0,,(3 voyages)
,5.0,Joinville-le-Pont • 12.6 km,60€ au total,,,5.0,,(38 voyages)
,5.0,Paris • 23.2 km,145€ au total,,,5.0,,(2 voyages)
,,Maisons-Alfort • 14.6 km,133€ au total,,,Nouvelle annonce,,
,,Chelles • 4.1 km,111€ au total,,,Aucun voyage,,
,5.0,Paris • 16.9 km,122€ au total,,,5.0,,(14 voyages)
,5.0,Paris • 17.6 km,104€ au total,,,5.0,,(4 voyages)
,4.83,Chessy • 11.1 km,70€ au total,,,4.83,,(192 voyages)
,4.93,Ivry-sur-Seine • 18.6 km,81€ au total,,,4.93,,(72 voyages)
,4.87,Noisy-le-Grand • 6.5 km,62€ au total,,,4.87,,(65 voyages)
,,Chelles • 4.9 km,156€ au total,,,Aucun voyage,,
,5.0,Paris • 22.8 km,118€ au total,,,5.0,Kilométrage illimité,(3 voyages)
,5.0,Champigny-sur-Marne • 8.1 km,124€ au total,,,5.0,,(2 voyages)
,5.0,Noisiel • 1.6 km,,,,5.0,,(1 voyage)
,,Créteil • 14.4 km,99€ au total,,,Aucun voyage,,
,,Ormesson-sur-Marne • 10.1 km,65€ au total,,,Aucun voyage,,
,4.9,Pantin • 17.6 km,111€ au total,,,4.9,,(14 voyages)
,4.94,Gentilly • 22.0 km,122€ au total,,,4.94,,(45 voyages)
,5.0,Bussy-Saint-Georges • 5.6 km,122€ au total,,,5.0,,(18 voyages)
,,Le Perreux-sur-Marne • 9.7 km,255€ au total,,,Nouvelle annonce,,
,,Montévrain • 9.5 km,111€ au total,,,Nouvelle annonce,,
,2.75,Bussy-Saint-Georges • 7.4 km,65€ au total,,,2.75,,(7 voyages)
,5.0,Paris • 23.4 km,111€ au total,,,5.0,,(15 voyages)
,4.89,Créteil • 15.2 km,86€ au total,,,4.89,,(69 voyages)
,4.95,Créteil • 15.2 km,86€ au total,,,4.95,,(27 voyages)
,4.83,Champigny-sur-Marne • 7.7 km,122€ au total,,,4.83,,(143 voyages)
,5.0,Bondy • 12.4 km,97€ au total,,,5.0,,(15 voyages)
,5.0,Noisy-le-Sec • 13.7 km,77€ au total,,,5.0,,(1 voyage)
,,Saint-Thibault-des-Vignes • 2.4 km,189€ au total,,,Nouvelle annonce,,
,5.0,Sevran • 12.3 km,88€ au total,,,5.0,,(3 voyages)
,,Saint-Mandé • 16.1 km,242€ au total,,,Nouvelle annonce,,
,5.0,Villeparisis • 10.8 km,67€ au total,,,5.0,,(54 voyages)
,4.0,Bondy • 12.5 km,90€ au total,,,4.0,,(4 voyages)
,4.9,Nogent-sur-Marne • 11.0 km,65€ au total,,,4.9,,(46 voyages)
,4.91,Paris • 16.7 km,99€ au total,,,4.91,,(13 voyages)
,,Gretz-Armainvilliers • 14.6 km,149€ au total,,,Aucun voyage,,
,,Noisy-le-Sec • 13.7 km,88€ au total,,,Aucun voyage,,
,5.0,Villeparisis • 11.5 km,86€ au total,,,5.0,,(3 voyages)
,4.71,Créteil • 15.1 km,86€ au total,,,4.71,,(30 voyages)
,5.0,Saint-Maur-des-Fossés • 11.6 km,81€ au total,,,5.0,,(1 voyage)
,5.0,Bry-sur-Marne • 8.0 km,74€ au total,,,5.0,,(2 voyages)
,5.0,Bussy-Saint-Georges • 5.6 km,189€ au total,,,5.0,,(3 voyages)
,4.92,Chessy • 11.1 km,74€ au total,,,4.92,,(80 voyages)
,4.95,Le Blanc-Mesnil • 14.9 km,65€ au total,,,4.95,,(55 voyages)
,4.92,Pantin • 18.0 km,72€ au total,,,4.92,,(20 voyages)
,5.0,Montfermeil • 7.6 km,79€ au total,,,5.0,,(12 voyages)
,5.0,Paris • 19.3 km,70€ au total,,,5.0,Kilométrage illimité,(25 voyages)
,5.0,Paris • 16.8 km,120€ au total,,,5.0,,(2 voyages)
,5.0,Bonneuil-sur-Marne • 14.5 km,167€ au total,,,5.0,,(7 voyages)
,5.0,Paris • 19.5 km,178€ au total,,,5.0,,(13 voyages)
,4.74,Chessy • 10.9 km,72€ au total,,,4.74,,(66 voyages)
,5.0,Noisy-le-Sec • 13.0 km,110€ au total,,,5.0,,(3 voyages)
,4.54,Le Perreux-sur-Marne • 10.3 km,47€ au total,,,4.54,,(29 voyages)
,5.0,Montreuil • 14.7 km,167€ au total,,,5.0,,(1 voyage)
,4.4,Bussy-Saint-Georges • 7.4 km,77€ au total,,,4.4,,(32 voyages)
,4.67,Bagnolet • 15.4 km,122€ au total,,,4.67,Kilométrage illimité,(3 voyages)
,4.97,Paris • 19.4 km,113€ au total,,,4.97,,(83 voyages)
,5.0,Pantin • 18.0 km,77€ au total,,,5.0,,(1 voyage)
,4.5,Maisons-Alfort • 15.0 km,97€ au total,,,4.5,,(12 voyages)
,4.78,Yerres • 19.7 km,104€ au total,,,4.78,,(17 voyages)
,5.0,Bonneuil-sur-Marne • 14.5 km,127€ au total,,,5.0,Kilométrage illimité,(8 voyages)
,,Gagny • 5.7 km,77€ au total,,,Aucun voyage,,
,4.77,Créteil • 13.9 km,111€ au total,,,4.77,,(33 voyages)
,4.85,Champigny-sur-Marne • 7.7 km,79€ au total,,,4.85,,(23 voyages)
,,Villiers-sur-Marne • 6.2 km,67€ au total,,,Aucun voyage,,
,5.0,Bussy-Saint-Georges • 5.4 km,174€ au total,,,5.0,,(3 voyages)
,4.88,Romainville • 14.9 km,104€ au total,,,4.88,,(49 voyages)
,4.93,Vincennes • 15.1 km,99€ au total,,,4.93,,(108 voyages)
,5.0,Garges Les Gonesse • 22.9 km,62€ au total,,,5.0,,(2 voyages)
,5.0,Créteil • 14.0 km,202€ au total,,,5.0,,(4 voyages)
,5.0,Paris • 17.6 km,104€ au total,,,5.0,,(14 voyages)
,5.0,Paris • 17.6 km,104€ au total,,,5.0,,(13 voyages)
,4.8,Chessy • 11.1 km,72€ au total,,,4.8,,(122 voyages)
,5.0,Ivry Sur Seine • 19.7 km,77€ au total,,,5.0,,(7 voyages)
,5.0,Le Blanc-Mesnil • 15.7 km,77€ au total,,,5.0,,(20 voyages)
,5.0,Paris • 17.6 km,162€ au total,,,5.0,,(17 voyages)
,5.0,Paris • 17.6 km,162€ au total,,,5.0,,(20 voyages)
,4.67,Maisons-Alfort • 14.6 km,149€ au total,,,4.67,,(3 voyages)
,5.0,Le Kremlin-bicêtre • 20.6 km,67€ au total,,,5.0,,(7 voyages)
,5.0,Paris • 19.3 km,111€ au total,,,5.0,,(4 voyages)
,4.85,Montreuil • 14.2 km,142€ au total,,,4.85,,(42 voyages)
,5.0,Villeparisis • 10.8 km,109€ au total,,,5.0,,(4 voyages)
,4.82,Champigny-sur-Marne • 11.4 km,90€ au total,,,4.82,,(87 voyages)
,5.0,Maisons-Alfort • 14.6 km,193€ au total,,,5.0,,(1 voyage)
,5.0,Paris • 16.7 km,72€ au total,,,5.0,,(10 voyages)
,4.83,Paris • 16.7 km,151€ au total,,,4.83,,(7 voyages)
,,Lagny-sur-Marne • 4.0 km,99€ au total,,,Aucun voyage,,
,,Paris • 21.4 km,83€ au total,,,Aucun voyage,,
,5.0,Villeneuve-Saint-Georges • 18.9 km,145€ au total,,,5.0,,(28 voyages)
,5.0,Créteil • 15.1 km,86€ au total,,,5.0,,(37 voyages)
,5.0,Pantin • 17.9 km,136€ au total,,,5.0,,(60 voyages)
,5.0,Le Blanc-Mesnil • 15.7 km,151€ au total,,,5.0,,(2 voyages)
,5.0,Aulnay-sous-Bois • 14.1 km,95€ au total,,,5.0,,(6 voyages)
,5.0,Montgeron • 20.0 km,39€ au total,,,5.0,Kilométrage illimité,(1 voyage)
,5.0,Noisy-le-Sec • 13.7 km,79€ au total,,,5.0,,(16 voyages)
,5.0,Bondy • 12.2 km,95€ au total,,,5.0,,(1 voyage)
,5.0,Paris • 18.1 km,187€ au total,,,5.0,,(13 voyages)
,,Bagnolet • 16.2 km,77€ au total,,,Aucun voyage,,
,5.0,Drancy • 15.6 km,145€ au total,,,5.0,,(5 voyages)
,,Lagny-sur-Marne • 4.0 km,189€ au total,,,Aucun voyage,,
,5.0,Montreuil • 12.5 km,167€ au total,,,5.0,,(2 voyages)
